DAP,SAP,MAP
-21.725390484266356,-29.76399522059448,-24.669228267727533
-3.231288006239012,-12.495631267957776,-7.359628420214932
-6.556789682917042,-10.533840464167056,-7.663725338915512
-6.0240583919812,-9.716021587781967,-6.959250000536201
-15.056757976942137,-24.16723923914917,-19.01704846910178
-16.30644135706909,-25.304377605848373,-19.553539282722085
-8.567152052534738,-22.65441325248591,-15.264727506451933
-15.3239851497937,-23.95759873621948,-18.848173869393776
19.300284062758827,14.260267888442414,17.933084278588254
-26.86911761847854,-28.533634067453136,-27.926507819903463
13.141211186782257,11.06906000270024,11.40369353905642
11.879133855239289,9.354857121840865,9.703220542941295
-32.20941531745315,-35.595210910714854,-32.39665555168162
-20.574306369699244,-23.502277255929698,-20.69234136440312
-9.658793499403075,-12.211756756239012,-9.300237680063375
-31.224670291818384,-34.860774875558604,-31.650364978234634
-13.301955273084715,-19.19380479090698,-15.014024375449623
-8.768964462224034,-14.189893417302159,-13.17157320422595
3.7505664533246375,0.16064259468205933,3.36841883119088
-12.075305035047606,-17.360362102918685,-13.244145753761202
6.792355399056902,-0.4698554468903495,4.8260969967059
7.633614401742449,3.8642662572111988,7.742457998487183
-9.672914199772862,-8.620946578923252,-8.818001477083428
-12.005595257215575,-18.950434734754623,-13.389295622210227
-8.146650009099034,-9.878324203434971,-10.971695969459944
23.81565347804203,17.95590082301274,24.420650262915643
2.877443284379325,-0.9267368608843469,2.0313086440711743
-5.034413986149815,-4.1268059539232524,-6.035580224286491
-25.87214951746948,-31.760096599989026,-28.28623280506889
-10.76459794276245,-28.816927959852308,-18.543751600082814
-28.874450565255884,-32.17154300300001,-27.531623037072322
25.10966745509281,18.75821558131352,25.644607299192998
-24.471385837472695,-30.09749972907423,-26.50018813836442
-2.529589703016356,-16.274188091688245,-8.536754808384273
-7.41852860682495,-14.340540935926498,-10.16826040069786
24.760039006606483,17.624128972426803,25.666895119034237
-12.709231426649168,-19.869982769422606,-15.385134314754595
-1.9587889217663559,1.8592195010852208,0.43484778172485505
-17.02989106410034,-24.808939983778075,-19.84754656395492
-13.167092971745518,-14.045133285466221,-14.134738246804574
